Site,Content partner,Type,Country,City,URL,Description
DigitalNZ,The Dowse Art Museum,,NZ,,,
DigitalNZ,Landcare Trust,,NZ,,,
DigitalNZ,Te Aroha & Districts Museum,,NZ,,,
DigitalNZ,Accident Compensation Corporation,Government,NZ,,,
DigitalNZ,Whitireia Community Polytechnic,,NZ,,,
DigitalNZ,New Zealand Police,,NZ,,,
DigitalNZ,Wellington City Council,,NZ,,,
DigitalNZ,Whanganui Regional Museum,,NZ,,,
DigitalNZ,Isel House,,NZ,,,
DigitalNZ,University of Canterbury,University,NZ,,,
DigitalNZ,Kowai Archives,Archives,NZ,,,
DigitalNZ,North Otago Museum,Museum,NZ,,,
DigitalNZ,Auckland Council Archives,Archives,NZ,,,
DigitalNZ,Shantytown,,NZ,,,
DigitalNZ,Silky Oak Museum,Museum,NZ,,,
DigitalNZ,Mix & Mash 2011,,NZ,,,
DigitalNZ,Statistics New Zealand,,NZ,,,
DigitalNZ,Bronwyn Holloway-Smith,,NZ,,,
DigitalNZ,Department of Corrections,,NZ,,,
DigitalNZ,UCOL Universal College of Learning,,NZ,,,
DigitalNZ,Amuri Historical Society,,NZ,,,
DigitalNZ,Auckland Council,Government,NZ,,,
DigitalNZ,Department of Building and Housing,Government,NZ,,,
DigitalNZ,Free Music Archive,Media,NZ,,,
DigitalNZ,Productivity Commission,,NZ,,,
DigitalNZ,SPARC,,NZ,,,
DigitalNZ,Internet Archive,Aggregator,NZ,,,
