National Library of New Zealand+    Library    NZ    26586200    1839    2018
National Library of New Zealand    Library    NZ    7070    1839    2018
Wanganui Collegiate School Museum		NZ	57	1885	1987
TBHP Collective Holiday Memories		NZ	51	2016	2018
The Dowse Art Museum		NZ	50	1895	2001
Landcare Trust		NZ	5		
Te Aroha & Districts Museum		NZ	0		
Accident Compensation Corporation	Government	NZ	43		
Whitireia Community Polytechnic		NZ	35	2008	2011
New Zealand Police		NZ	34	2000	2009
Wellington City Council		NZ	34	1997	2010
Whanganui Regional Museum		NZ	34	1724	2018
Isel House		NZ	33	1961	2008
University of Canterbury	University	NZ	32	2005	2011
Kowai Archives	Archives	NZ	23	1896	2018
North Otago Museum	Museum	NZ	23	1910	1919
Auckland Council Archives	Archives	NZ	21	1917	1929
Shantytown		NZ	21	1860	1898
Silky Oak Museum	Museum	NZ	20	1899	2018
Mix & Mash 2011		NZ	0		
Statistics New Zealand		NZ	11	2007	2009
Bronwyn Holloway-Smith		NZ	10		
Department of Corrections		NZ	9	1999	2008
UCOL Universal College of Learning		NZ	9	2009	2010
Amuri Historical Society		NZ	8		
Auckland Council	Government	NZ	7	2003	2008
Department of Building and Housing	Government	NZ	6	2008	2012
Free Music Archive	Media	NZ	5	2010	2011
Productivity Commission		NZ	5	2011	2013
SPARC		NZ	4	2010	2010
Internet Archive	Aggregator	NZ	3		
