Alexander Turnbull Library	1795	16
Alexander Turnbull Library	1796	15
Alexander Turnbull Library	1750	12
Alexander Turnbull Library	1770	12
Alexander Turnbull Library	1776	12
Alexander Turnbull Library	1791	12
Alexander Turnbull Library	1798	12
Alexander Turnbull Library	1811	12
Alexander Turnbull Library	1814	12
Alexander Turnbull Library	1793	11
Alexander Turnbull Library	1799	11
Alexander Turnbull Library	1817	11
Alexander Turnbull Library	1642	10
Alexander Turnbull Library	1780	10
Alexander Turnbull Library	1785	10
Alexander Turnbull Library	1804	10
Alexander Turnbull Library	1812	10
Alexander Turnbull Library	1783	9
Alexander Turnbull Library	1808	9
Alexander Turnbull Library	1815	9
Alexander Turnbull Library	1821	9
Alexander Turnbull Library	1805	8
Alexander Turnbull Library	1806	8
Alexander Turnbull Library	1807	8
Alexander Turnbull Library	1809	8
Alexander Turnbull Library	1745	7
Alexander Turnbull Library	1751	7
Alexander Turnbull Library	1789	7
Alexander Turnbull Library	1794	7
Alexander Turnbull Library	1700	6
Alexander Turnbull Library	1786	6
Alexander Turnbull Library	1787	6
Alexander Turnbull Library	1643	5
Alexander Turnbull Library	1736	5
Alexander Turnbull Library	1768	5
Alexander Turnbull Library	1803	5
Alexander Turnbull Library	1720	4
Alexander Turnbull Library	1737	4
Alexander Turnbull Library	1781	4
Alexander Turnbull Library	1756	3
Alexander Turnbull Library	1759	3
Alexander Turnbull Library	1761	3
Alexander Turnbull Library	1801	3
Alexander Turnbull Library	1650	2
Alexander Turnbull Library	1705	2
Alexander Turnbull Library	1726	2
Alexander Turnbull Library	1743	2
Alexander Turnbull Library	1749	2
Alexander Turnbull Library	1757	2
Alexander Turnbull Library	1758	2
Alexander Turnbull Library	1760	2
Alexander Turnbull Library	1764	2
Alexander Turnbull Library	1765	2
Alexander Turnbull Library	1766	2
Alexander Turnbull Library	1782	2
Alexander Turnbull Library	1797	2
Alexander Turnbull Library	1802	2
Alexander Turnbull Library	1510	1
Alexander Turnbull Library	1511	1
Alexander Turnbull Library	1515	1
Alexander Turnbull Library	1520	1
Alexander Turnbull Library	1525	1
Alexander Turnbull Library	1550	1
Alexander Turnbull Library	1552	1
Alexander Turnbull Library	1556	1
Alexander Turnbull Library	1592	1
Alexander Turnbull Library	1599	1
Alexander Turnbull Library	1608	1
Alexander Turnbull Library	1610	1
Alexander Turnbull Library	1639	1
Alexander Turnbull Library	1640	1
Alexander Turnbull Library	1645	1
Alexander Turnbull Library	1647	1
Alexander Turnbull Library	1649	1
Alexander Turnbull Library	1651	1
Alexander Turnbull Library	1655	1
Alexander Turnbull Library	1656	1
Alexander Turnbull Library	1657	1
Alexander Turnbull Library	1661	1
Alexander Turnbull Library	1693	1
Alexander Turnbull Library	1695	1
Alexander Turnbull Library	1699	1
Alexander Turnbull Library	1708	1
Alexander Turnbull Library	1714	1
Alexander Turnbull Library	1716	1
Alexander Turnbull Library	1721	1
NatureWatch NZ	2017	89369
NatureWatch NZ	2016	66822
NatureWatch NZ	2015	50965
NatureWatch NZ	2014	38763
NatureWatch NZ	2013	24789
NatureWatch NZ	2012	5811
NatureWatch NZ	2011	3002
NatureWatch NZ	2010	1884
NatureWatch NZ	2009	1617
NatureWatch NZ	2007	1438
NatureWatch NZ	2008	1417
NatureWatch NZ	2006	1280
NatureWatch NZ	2005	634
NatureWatch NZ	2002	391
NatureWatch NZ	2004	363
NatureWatch NZ	2001	346
NatureWatch NZ	2000	255
NatureWatch NZ	2003	171
NatureWatch NZ	1999	43
NatureWatch NZ	1991	42
NatureWatch NZ	1992	27
NatureWatch NZ	1998	23
NatureWatch NZ	1983	22
NatureWatch NZ	1990	21
NatureWatch NZ	1986	18
NatureWatch NZ	1994	17
NatureWatch NZ	1984	16
NatureWatch NZ	1997	15
NatureWatch NZ	1995	14
NatureWatch NZ	1996	14
NatureWatch NZ	1993	13
NatureWatch NZ	1976	12
NatureWatch NZ	1989	12
NatureWatch NZ	1970	11
NatureWatch NZ	1979	11
NatureWatch NZ	1985	10
NatureWatch NZ	1974	8
NatureWatch NZ	1975	8
NatureWatch NZ	1980	8
NatureWatch NZ	1982	5
NatureWatch NZ	1987	4
NatureWatch NZ	1977	3
NatureWatch NZ	1960	2
NatureWatch NZ	1968	2
NatureWatch NZ	1971	2
NatureWatch NZ	1972	2
NatureWatch NZ	1981	2
NatureWatch NZ	1988	2
NatureWatch NZ	1917	1
NatureWatch NZ	1957	1
NatureWatch NZ	1959	1
NatureWatch NZ	1966	1
NatureWatch NZ	1967	1
NatureWatch NZ	1969	1
NatureWatch NZ	1973	1
NatureWatch NZ	1978	1
Auckland War Memorial Museum Tamaki Paenga Hira	1916	30528
Auckland War Memorial Museum Tamaki Paenga Hira	1917	28643
Auckland War Memorial Museum Tamaki Paenga Hira	1915	19937
Auckland War Memorial Museum Tamaki Paenga Hira	1914	18265
Auckland War Memorial Museum Tamaki Paenga Hira	1918	17256
Auckland War Memorial Museum Tamaki Paenga Hira	1940	9104
Auckland War Memorial Museum Tamaki Paenga Hira	1941	3970
Auckland War Memorial Museum Tamaki Paenga Hira	1942	3875
Auckland War Memorial Museum Tamaki Paenga Hira	1945	3768
Auckland War Memorial Museum Tamaki Paenga Hira	1943	3646
Auckland War Memorial Museum Tamaki Paenga Hira	1944	3545
Auckland War Memorial Museum Tamaki Paenga Hira	2016	3221
Auckland War Memorial Museum Tamaki Paenga Hira	1950	2841
Auckland War Memorial Museum Tamaki Paenga Hira	1900	2714
Auckland War Memorial Museum Tamaki Paenga Hira	2015	2603
Auckland War Memorial Museum Tamaki Paenga Hira	2014	2172
Auckland War Memorial Museum Tamaki Paenga Hira	1910	2154
Auckland War Memorial Museum Tamaki Paenga Hira	1930	2068
Auckland War Memorial Museum Tamaki Paenga Hira	1970	1914
Auckland War Memorial Museum Tamaki Paenga Hira	1960	1819
Auckland War Memorial Museum Tamaki Paenga Hira	1920	1697
Auckland War Memorial Museum Tamaki Paenga Hira	1952	1583
Auckland War Memorial Museum Tamaki Paenga Hira	1919	1552
Auckland War Memorial Museum Tamaki Paenga Hira	2010	1520
Auckland War Memorial Museum Tamaki Paenga Hira	2013	1507
Auckland War Memorial Museum Tamaki Paenga Hira	2011	1464
Auckland War Memorial Museum Tamaki Paenga Hira	1953	1410
Auckland War Memorial Museum Tamaki Paenga Hira	1939	1309
Auckland War Memorial Museum Tamaki Paenga Hira	2006	1208
Auckland War Memorial Museum Tamaki Paenga Hira	1936	1205
Auckland War Memorial Museum Tamaki Paenga Hira	2012	1153
Auckland War Memorial Museum Tamaki Paenga Hira	1979	1053
Auckland War Memorial Museum Tamaki Paenga Hira	2009	1035
Auckland War Memorial Museum Tamaki Paenga Hira	2005	973
Auckland War Memorial Museum Tamaki Paenga Hira	1890	946
Auckland War Memorial Museum Tamaki Paenga Hira	2008	923
Auckland War Memorial Museum Tamaki Paenga Hira	1982	922
Auckland War Memorial Museum Tamaki Paenga Hira	1947	921
Auckland War Memorial Museum Tamaki Paenga Hira	1955	907
Auckland War Memorial Museum Tamaki Paenga Hira	2007	891
Auckland War Memorial Museum Tamaki Paenga Hira	1956	882
Auckland War Memorial Museum Tamaki Paenga Hira	1948	874
Auckland War Memorial Museum Tamaki Paenga Hira	1980	871
Auckland War Memorial Museum Tamaki Paenga Hira	1957	865
Auckland War Memorial Museum Tamaki Paenga Hira	1901	856
Auckland War Memorial Museum Tamaki Paenga Hira	1949	781
Auckland War Memorial Museum Tamaki Paenga Hira	1984	770
Auckland War Memorial Museum Tamaki Paenga Hira	1946	766
Auckland War Memorial Museum Tamaki Paenga Hira	1921	756
Auckland War Memorial Museum Tamaki Paenga Hira	1902	746
Auckland War Memorial Museum Tamaki Paenga Hira	1837	744
Auckland War Memorial Museum Tamaki Paenga Hira	1912	739
Auckland War Memorial Museum Tamaki Paenga Hira	1934	728
Auckland War Memorial Museum Tamaki Paenga Hira	1971	721
Auckland War Memorial Museum Tamaki Paenga Hira	1999	710
Auckland War Memorial Museum Tamaki Paenga Hira	1978	703
Auckland War Memorial Museum Tamaki Paenga Hira	1981	695
Auckland War Memorial Museum Tamaki Paenga Hira	1964	688
Auckland War Memorial Museum Tamaki Paenga Hira	1954	687
Auckland War Memorial Museum Tamaki Paenga Hira	1969	683
Auckland War Memorial Museum Tamaki Paenga Hira	1975	681
Auckland War Memorial Museum Tamaki Paenga Hira	1922	675
Auckland War Memorial Museum Tamaki Paenga Hira	1976	673
Auckland War Memorial Museum Tamaki Paenga Hira	1938	663
Auckland War Memorial Museum Tamaki Paenga Hira	1959	663
Auckland War Memorial Museum Tamaki Paenga Hira	2004	663
Auckland War Memorial Museum Tamaki Paenga Hira	1951	661
Auckland War Memorial Museum Tamaki Paenga Hira	1977	654
Auckland War Memorial Museum Tamaki Paenga Hira	1961	651
Auckland War Memorial Museum Tamaki Paenga Hira	1965	645
Auckland War Memorial Museum Tamaki Paenga Hira	1972	645
Auckland War Memorial Museum Tamaki Paenga Hira	1985	637
Auckland War Memorial Museum Tamaki Paenga Hira	1958	632
Auckland War Memorial Museum Tamaki Paenga Hira	1973	631
Auckland War Memorial Museum Tamaki Paenga Hira	1966	627
Auckland War Memorial Museum Tamaki Paenga Hira	1967	617
Auckland War Memorial Museum Tamaki Paenga Hira	1989	617
Auckland War Memorial Museum Tamaki Paenga Hira	1923	614
Auckland War Memorial Museum Tamaki Paenga Hira	1860	611
Auckland War Memorial Museum Tamaki Paenga Hira	1988	610
Auckland War Memorial Museum Tamaki Paenga Hira	1963	609
Auckland War Memorial Museum Tamaki Paenga Hira	1913	599
Auckland War Memorial Museum Tamaki Paenga Hira	1962	594
Auckland War Memorial Museum Tamaki Paenga Hira	1937	591
Auckland War Memorial Museum Tamaki Paenga Hira	1880	586
Auckland War Memorial Museum Tamaki Paenga Hira	1968	584
Auckland War Memorial Museum Tamaki Paenga Hira	1974	584
Auckland War Memorial Museum Tamaki Paenga Hira	1928	574
Auckland War Memorial Museum Tamaki Paenga Hira	1986	562
Auckland War Memorial Museum Tamaki Paenga Hira	1931	559
Auckland War Memorial Museum Tamaki Paenga Hira	1990	552
Auckland War Memorial Museum Tamaki Paenga Hira	1906	543
Auckland War Memorial Museum Tamaki Paenga Hira	1760	539
Auckland War Memorial Museum Tamaki Paenga Hira	1983	537
Auckland War Memorial Museum Tamaki Paenga Hira	1987	537
Auckland War Memorial Museum Tamaki Paenga Hira	1935	527
Auckland War Memorial Museum Tamaki Paenga Hira	1868	519
