Carterton District Library	Audio	138
Carterton District Library	Articles	10
Carterton District Library	Videos	1
New Zealand Taxation	Articles	722
Motu Economic and Public Policy Research	Research papers	707
Ministry of Fisheries Te Tautiaki i nga tini a Tangaroa	Data	652
Ministry of Fisheries Te Tautiaki i nga tini a Tangaroa	Images	437
British Pathé	Videos	604
AgEcon Search	Research papers	599
Kawerau District Library	Images	458
Kawerau District Library	Articles	121
Kawerau District Library	Other	5
Christchurch Polytechnic Institute of Technology, Te Wānanga Ōtautahi	Research papers	579
Deutsche Digitale Bibliothek	Images	84
Waimakariri District Libraries	Images	388
Waimakariri District Libraries	Articles	92
Waimakariri District Libraries	Other	76
Waimakariri District Libraries	Audio	3
Waimakariri District Libraries	Videos	1
Kete Taupo	Images	365
Kete Taupo	Articles	153
Kete Taupo	Other	20
Kete Taupo	Audio	13
The Prow: ngā kōrero o te tau ihu	Articles	565
The Treasury	Research papers	536
Department of Labour	Articles	314
Department of Labour	Research papers	206
New Zealand Book Council	Articles	505
Paul Spain	Audio	446
Paul Spain	Videos	3
Toitū Otago Settlers Museum	Images	425
Kete Tararua	Images	389
Kete Tararua	Articles	16
Kete Central Hawke's Bay	Images	235
Kete Central Hawke's Bay	Articles	77
Kete Central Hawke's Bay	Other	69
Kete Central Hawke's Bay	Audio	21
Kete Central Hawke's Bay	Videos	1
Tourism New Zealand	Videos	323
Tourism New Zealand	Articles	54
Tourism New Zealand	Other	1
New Zealand Cricket Museum	Images	249
New Zealand Cricket Museum	Articles	123
Kete Masterton	Images	178
Kete Masterton	Articles	165
Kete Masterton	Other	23
Department of Conservation Te Papa Atawhai	Videos	366
New Zealand Film Commission	Videos	331
Beacon Pathway Ltd	Other	181
Beacon Pathway Ltd	Research papers	126
Beacon Pathway Ltd	Articles	1
The New Zealand Nursing Education and Research Foundation	Images	249
The New Zealand Nursing Education and Research Foundation	Articles	59
The New Zealand Nursing Education and Research Foundation	Audio	59
Powerhouse Museum	Images	300
Forest and Bird	Articles	109
Forest and Bird	Videos	5
Institute of Environmental Science and Research Ltd (ESR)	Research papers	262
Kete King Country	Images	178
Kete King Country	Other	45
Kete King Country	Articles	38
Tusk - Emergent Culture	Articles	255
NIWA	Videos	257
Waimate Historical Museum and Archives	Images	252
Wellington City Libraries	Articles	135
Wellington City Libraries	Images	109
Wellington City Libraries	Other	6
Audio Foundation	Articles	124
Audio Foundation	Videos	5
Raglan and District Museum	Images	210
Laurie Family	Images	163
Te Awamutu Online	Videos	5
Christchurch uncovered	Articles	155
Waitangi Tribunal	Research papers	146
Waitangi Tribunal	Articles	6
What is that Christchurch	Articles	138
Lost Christchurch	Articles	129
Centre for Housing Research Aotearoa New Zealand	Research papers	123
Canterbury 100	Images	63
Canterbury 100	Articles	56
Ministry of Tourism Te Manatū Tāpoi	Research papers	105
Australian National Maritime Museum	Images	100
State Library of New South Wales	Images	100
The National Archives UK	Images	118
Gus Fisher Gallery	Images	96
New Zealand Journal of Forestry Science	Articles	94
Eastern Institute of Technology	Research papers	89
Down to the Wire	Videos	63
Down to the Wire	Articles	22
Ministry of Education	Research papers	74
Ministry of Education	Data	8
Te Manawa	Images	76
Energy Efficiency and Conservation Authority	Research papers	68
Freesound	Audio	65
The Phoenix Project	Books	62
Waitangi Tribunal Unit	Research papers	58
Wanganui Collegiate School Museum	Images	57
TBHP Collective Holiday Memories	Articles	51
The Dowse Art Museum	Research papers	47
The Dowse Art Museum	Other	3
Landcare Trust	Videos	5
Accident Compensation Corporation	Articles	43
Whitireia Community Polytechnic	Research papers	34
Whitireia Community Polytechnic	Other	1
New Zealand Police	Articles	18
New Zealand Police	Data	12
New Zealand Police	Research papers	4
Wellington City Council	Research papers	33
Wellington City Council	Data	1
Whanganui Regional Museum	Images	34
Isel House	Images	33
University of Canterbury	Articles	32
Kowai Archives	Images	23
North Otago Museum	Images	23
Auckland Council Archives	Images	21
Shantytown	Images	21
Silky Oak Museum	Images	20
Statistics New Zealand	Research papers	11
Bronwyn Holloway-Smith	Other	10
Department of Corrections	Research papers	9
UCOL Universal College of Learning	Research papers	9
Amuri Historical Society	Images	8
Auckland Council	Research papers	7
Department of Building and Housing	Research papers	6
Free Music Archive	Audio	5
Productivity Commission	Data	5
SPARC	Data	3
SPARC	Research papers	1
Internet Archive	Audio	2
Internet Archive	Videos	1
